journal;year;vol;issue;pages;title;reference;replication;QoI;QoI_type;FD;EV;PV;QoI_plot;p_increase;only_direction
APSR;2015;109;1;155-171;Presidential Particularism and Divide-the-Dollar Politics;p. 160;1;1;FD;1;0;0;1;0;0
APSR;2015;109;1;172-186;Partisanship and the Allocation of Federal Spending;p. 178;1;1;FD;1;0;0;0;1;0
APSR;2015;109;2;371-391;Informal Institutions, Collective Action, and Public Investment in Rural China;p. 378;0;1;EV;0;1;0;1;1;0
APSR;2016;110;2;325-341;Presidential Influence in an Era of Congressional Dominance;p. 330;0;0;no;0;0;0;0;1;0
APSR;2016;110;3;457-480;Language Policy and Human Development;p. 464;0;0;no;0;0;0;0;0;1
APSR;2017;111;1;162-183;Politicians, Bureaucrats, and Development: Evidence from India;p. 171;0;0;no;0;0;0;0;1;0
APSR;2017;111;2;256–276;Catalyst or Crown: Does Naturalization Promote the Long-Term Social Integration of Immigrants?;p. 273;0;0;no;0;0;0;0;1;0
APSR;2018;112;1;49-67;Secular Party Rule and Religious Violence in Pakistan;p. 58;1;0;no;0;0;0;0;0;1
APSR;2018;112;1;68-81;Public Employees as Politicians;p. 75;1;1;FD;1;0;0;0;1;0
APSR;2018;112;2;280–301;Information Dissemination, Competitive Pressure, and Politician Performance between Elections;p. 294, 296;1;0;no;0;0;0;0;0;1
APSR;2018;112;2;322–338;Businesspeople in Elected Office;p. 326;1;0;no;0;0;0;0;1;0
APSR;2018;112;3;564–579;The Birth of Pork;p. 571;1;0;no;0;0;0;0;1;0
APSR;2018;112;4;971–995;Office-Selling, Corruption, and Long-Term Development in Peru;p. 977;1;1;FD;1;0;0;0;1;0
APSR;2018;112;4;996–1015;Endogenous Taxation in Ongoing Internal Conflict;p. 1006;1;0;no;0;0;0;0;1;0
APSR;2018;112;4;954–970;Media Bias against Foreign Firms as a Veiled Trade Barrier;p. 967;1;0;no;0;0;0;0;0;1
APSR;2018;112;4;792–808;How Internal Constraints Shape Interest Group Activities;p. 803;1;1;PV;0;0;1;1;1;0
APSR;2019;113;2;405–422;How Do Immigrants Respond to Discrimination?;p. 414;1;0;no;0;0;0;0;1;0
AJPS;2015;59;2;341-356;Explaining Institutional Change: Policy Areas, Outside Options, and the Bretton Woods Institutions;p. 350;0;0;no;0;0;0;0;1;0
AJPS;2015;59;2;419-439;Monopoly Money: Foreign Investment and Bribery in Vietnam, a Survey Experiment;p. 426;0;;;;0;0;0;;
AJPS;2015;59;3;708-723;The Productivity Consequences of Political Turnover: Firm-Level Evidence from Ukraine’s Orange Revolution;p. 713;1;0;no;0;0;0;0;1;0
AJPS;2015;59;4;855-865;Conflict, Cooperation, and Institutional Change on the Commons;p. 861;1;0;no;0;0;0;0;1;0
AJPS;2016;60;2;304-321;IMF Conditionality, Government Partisanship, and the Progress of Economic Reforms;p. 311;1;0;no;0;0;0;0;1;0
AJPS;2016;60;3;692-708;Cardinals or Clerics? Congressional Committees and the Distribution of Pork;p. 697;1;0;no;0;0;0;0;1;0
AJPS;2017;61;1;84-99;MNCs, Rents, and Corruption: Evidence from China;p. 93;1;0;no;0;0;0;0;1;0
AJPS;2017;61;3;671-683;Foreign Aid, Human Rights, and Democracy Promotion: Evidence from a Natural Experiment;p. 677;1;1;FD;1;0;0;0;1;0
AJPS;2017;61;4;864-876;Cities as Lobbyists;p. 869;1;0;no;0;0;0;0;1;0
AJPS;2018;62;1;132–147;How Do Interest Groups Seek Access to Committees?;p. 138;1;1;FD;1;0;0;0;1;0
AJPS;2018;62;1;176–191;When Are Agenda Setters Valuable?;p. 180;1;0;no;0;0;0;0;1;0
AJPS;2018;62;2;296–311;The Who, When, and Where of Executive Nominations: Integrating Agency Independence and Appointee Ideology;p. 306;1;1;EV;0;1;0;1;0;0
AJPS;2018;62;2;470–485;The Conditional Nature of Political Risk: How Home Institutions Influence the Location of Foreign Direct Investment;p. 479;1;0;no;0;0;0;0;0;1
AJPS;2018;62;3;695–711;Does Compliance Pay? Social Standards and Firm-Level Trade;p. 703;1;1;FD;1;0;0;0;1;0
AJPS;2018;62;4;889–904;Remittances and Protest in Dictatorships;p. 894;1;;;;0;0;;;
AJPS;2018;62;4;982–999;Making Bureaucracy Work: Patronage Networks, Performance Incentives, and Economic Development in China;p. 994;1;0;no;0;0;0;0;0;0
AJPS;2019;63;1;21-36;Public-Sector Unions and the Size of Government;p. 32;1;0;no;0;0;0;0;1;0
AJPS;2019;63;2;427-438;Strategic Spending: Does Politics Influence Election Administration Expenditure?;p. 432;1;1;FD;1;0;0;0;1;0
AJPS;2019;63;4;723–739;Is Temperature Exogenous? The Impact of Civil Conflict on the Instrumental Climate Record in Sub-Saharan Africa;p. 734;1;1;FD;1;0;0;0;1;0
